id,key,value,type
29892724,highway,motorway_junction,regular
29892724,ref,490,regular
30033863,highway,motorway_junction,regular
30033863,ref,494,regular
55950498,highway,motorway_junction,regular
55950498,ref,488B,regular
55956931,highway,turning_circle,regular
55961151,highway,motorway_junction,regular
55961151,ref,494,regular
55969408,highway,motorway_junction,regular
55969408,ref,491A,regular
55971788,highway,turning_circle,regular
55973174,highway,motorway_junction,regular
55973174,ref,490,regular
55976717,highway,turning_loop,regular
55976827,highway,motorway_junction,regular
55976827,ref,487,regular
55980402,highway,turning_loop,regular
55983740,highway,motorway_junction,regular
55983740,ref,488B,regular
55985470,highway,turning_loop,regular
55986654,highway,motorway_junction,regular
55986654,ref,491B,regular
55987071,highway,turning_circle,regular
55987073,highway,turning_circle,regular
55991010,highway,motorway_junction,regular
55991010,ref,485,regular
55997119,highway,turning_loop,regular
56001110,highway,turning_circle,regular
56001115,highway,turning_circle,regular
56015347,crossing,zebra,regular
56015347,highway,crossing,regular
56017732,highway,turning_circle,regular
56018099,highway,turning_circle,regular
56018220,highway,turning_circle,regular
56018544,highway,turning_circle,regular
56018581,highway,turning_circle,regular
56019086,highway,turning_circle,regular
56019125,highway,turning_circle,regular
56019279,highway,turning_circle,regular
56019302,highway,turning_circle,regular
56019472,highway,turning_circle,regular
56021879,highway,turning_circle,regular
56022510,highway,turning_circle,regular
56023107,highway,turning_circle,regular
56023235,highway,turning_circle,regular
56023244,railway,level_crossing,regular
56023858,highway,turning_circle,regular
56024353,highway,turning_circle,regular
56024483,highway,turning_circle,regular
56024808,highway,turning_circle,regular
56025175,highway,turning_loop,regular
56025340,highway,turning_circle,regular
56025672,highway,turning_circle,regular
56025695,highway,turning_circle,regular
56025842,highway,turning_circle,regular
56025980,highway,turning_circle,regular
56026024,highway,turning_circle,regular
56026486,highway,turning_circle,regular
56026753,highway,traffic_signals,regular
56026807,highway,turning_circle,regular
56027405,highway,turning_circle,regular
56027408,highway,turning_circle,regular
56027510,highway,turning_circle,regular
56027695,railway,level_crossing,regular
56028146,highway,motorway_junction,regular
56028146,ref,492,regular
56029338,highway,turning_circle,regular
56029487,highway,turning_circle,regular
56029523,highway,turning_circle,regular
56029647,highway,turning_circle,regular
56029963,highway,turning_circle,regular
56030094,highway,turning_circle,regular
56030279,highway,turning_circle,regular
56030415,highway,turning_circle,regular
56030424,highway,turning_circle,regular
56030532,highway,turning_circle,regular
56030538,highway,turning_circle,regular
56030540,highway,turning_circle,regular
56030578,highway,turning_circle,regular
56030865,highway,turning_circle,regular
56030898,highway,turning_circle,regular
56031480,highway,turning_circle,regular
56031823,highway,turning_circle,regular
56032380,highway,turning_circle,regular
56032391,highway,turning_circle,regular
56032527,highway,turning_circle,regular
56032543,highway,turning_circle,regular
56032569,highway,turning_circle,regular
56032817,highway,traffic_signals,regular
56032938,highway,turning_circle,regular
56033695,railway,level_crossing,regular
56033877,highway,turning_loop,regular
56033903,highway,turning_circle,regular
56034610,highway,turning_circle,regular
56034882,highway,turning_circle,regular
56035080,highway,turning_circle,regular
56035090,highway,turning_circle,regular
56035149,highway,turning_circle,regular
56035280,highway,turning_circle,regular
56035645,highway,turning_circle,regular
56035968,highway,turning_circle,regular
56035970,highway,turning_circle,regular
56036238,highway,turning_circle,regular
56036428,highway,turning_circle,regular
56036550,highway,turning_circle,regular
56036655,highway,traffic_signals,regular
56036760,highway,traffic_signals,regular
56036760,traffic_signals,signal,regular
56037124,highway,traffic_signals,regular
56037797,highway,turning_circle,regular
56037980,highway,turning_circle,regular
56038606,highway,turning_circle,regular
56038612,highway,turning_circle,regular
56038779,highway,turning_circle,regular
56039119,highway,turning_circle,regular
56039282,highway,turning_circle,regular
56039452,highway,turning_circle,regular
56039636,highway,turning_circle,regular
56039717,highway,turning_circle,regular
56039758,highway,turning_circle,regular
56039802,highway,turning_circle,regular
56040079,highway,turning_loop,regular
56040119,highway,turning_circle,regular
56040124,highway,turning_circle,regular
56040432,highway,turning_circle,regular
56040601,highway,turning_circle,regular
56040623,highway,turning_circle,regular
56040802,highway,turning_circle,regular
56040904,highway,turning_circle,regular
56041607,highway,turning_circle,regular
56041664,highway,turning_circle,regular
56042577,highway,turning_circle,regular
56043228,junction,roundabout,regular
56043301,highway,turning_circle,regular
56044174,highway,turning_circle,regular
56045043,highway,turning_circle,regular
56045066,highway,turning_circle,regular
56046559,highway,turning_circle,regular
56046563,highway,turning_circle,regular
56046569,highway,turning_circle,regular
56046634,highway,turning_circle,regular
56046731,highway,turning_circle,regular
56047201,highway,turning_circle,regular
56048012,highway,turning_circle,regular
56049627,highway,turning_circle,regular
56049838,highway,turning_circle,regular
56049883,highway,turning_circle,regular
56050182,highway,turning_circle,regular
56050200,highway,turning_circle,regular
56051121,highway,turning_circle,regular
56051126,highway,turning_circle,regular
56051162,highway,turning_circle,regular
56051397,highway,turning_circle,regular
56051609,highway,turning_circle,regular
56051611,highway,turning_circle,regular
56051690,highway,turning_circle,regular
56051742,highway,turning_circle,regular
56051936,highway,turning_circle,regular
56051942,highway,turning_circle,regular
56051970,highway,turning_circle,regular
56052612,highway,turning_circle,regular
56053080,highway,turning_circle,regular
56053684,highway,turning_circle,regular
56053714,highway,turning_circle,regular
56053797,highway,turning_circle,regular
56053913,highway,turning_circle,regular
56054187,highway,turning_circle,regular
56054432,highway,turning_circle,regular
56054471,highway,turning_circle,regular
56054580,highway,turning_circle,regular
56054817,highway,turning_circle,regular
56054974,highway,turning_circle,regular
56054992,highway,turning_circle,regular
56055383,highway,turning_circle,regular
56055412,highway,turning_circle,regular
56055994,highway,turning_circle,regular
56056025,highway,turning_circle,regular
56056109,highway,turning_circle,regular
56056282,highway,turning_circle,regular
56056321,highway,turning_circle,regular
56056533,highway,turning_circle,regular
56056633,highway,turning_circle,regular
56056850,highway,turning_circle,regular
56057036,highway,turning_circle,regular
56058015,highway,turning_circle,regular
56058128,highway,turning_circle,regular
56058329,highway,turning_circle,regular
56059331,highway,turning_circle,regular
56059488,highway,turning_circle,regular
56059731,highway,turning_circle,regular
56060374,highway,turning_circle,regular
56060805,highway,turning_circle,regular
56061242,highway,turning_circle,regular
56061331,highway,turning_circle,regular
56061993,highway,turning_circle,regular
56063958,highway,turning_circle,regular
56065617,highway,turning_circle,regular
56065642,highway,turning_circle,regular
